dream_vals,login_vals,time_vals,gt_vals,earnings_vals,total_time,strats
0,5,2160,2,1154489.6,10800,unstocked
0,5,2160,3,634652.8000001983,10800,stocked
0,5,2160,3,1125431.4,10800,unstocked
0,5,2460,1,712264.0,12300,stocked
0,5,2460,1,1049536.0,12300,unstocked
0,5,2460,2,783609.1999996896,12300,stocked
0,5,2460,2,936078.0,12300,unstocked
0,5,2460,3,1355435.9999998668,12300,stocked
0,5,2460,3,1875718.9999999998,12300,unstocked
0,5,2760,1,1014240.0,13800,stocked
0,5,2760,1,907736.0,13800,unstocked
0,5,2760,2,766215.9999998021,13800,stocked
0,5,2760,2,936078.0,13800,unstocked
0,5,2760,3,1241171.999999495,13800,stocked
0,5,2760,3,831822.6000000001,13800,unstocked
0,5,3060,1,834676.0,15300,stocked
0,5,3060,1,978636.0,15300,unstocked
0,5,3060,2,642320.7999998213,15300,stocked
0,5,3060,2,1357342.8000000003,15300,unstocked
0,5,3060,3,1177524.099999863,15300,stocked
0,5,3060,3,1957253.9999999995,15300,unstocked
0,5,3360,1,950630.0,16800,stocked
0,5,3360,1,978636.0,16800,unstocked
0,5,3360,2,1015469.3999998323,16800,stocked
0,5,3360,2,1997019.2000000007,16800,unstocked
0,5,3360,3,1409778.099999703,16800,stocked
0,5,3360,3,2185593.4,16800,unstocked
0,6,60,1,32328.0,360,stocked
0,6,60,1,0.0,360,unstocked
0,6,60,2,35560.79999999326,360,stocked
0,6,60,2,0.0,360,unstocked
0,6,60,3,37177.20000000736,360,stocked
0,6,60,3,0.0,360,unstocked
0,6,360,1,429404.0,2160,stocked
0,6,360,1,326212.0,2160,unstocked
0,6,360,2,302103.99999987823,2160,stocked
0,6,360,2,218411.6,2160,unstocked
0,6,360,3,265516.6000000024,2160,stocked
0,6,360,3,375143.8,2160,unstocked
0,6,660,1,83264.0,3960,stocked
0,6,660,1,326212.0,3960,unstocked
0,6,660,2,97948.40000002703,3960,stocked
0,6,660,2,717666.4,3960,unstocked
0,6,660,3,278369.00000005355,3960,stocked
0,6,660,3,375143.8,3960,unstocked
0,6,960,1,627996.0,5760,stocked
0,6,960,1,397112.0,5760,unstocked
0,6,960,2,175982.4000000514,5760,stocked
0,6,960,2,1372901.2,5760,unstocked
0,6,960,3,707291.4000001503,5760,stocked
0,6,960,3,521948.19999999995,5760,unstocked
0,6,1260,1,847400.0,7560,stocked
0,6,1260,1,1106292.0,7560,unstocked
0,6,1260,2,110070.40000005059,7560,stocked
0,6,1260,2,1357342.8000000003,7560,unstocked
0,6,1260,3,490185.20000009885,7560,stocked
0,6,1260,3,521948.19999999995,7560,unstocked
0,6,1560,1,341252.0,9360,stocked
0,6,1560,1,326212.0,9360,unstocked
0,6,1560,2,519063.5999999257,9360,stocked
0,6,1560,2,1372901.2000000002,9360,unstocked
0,6,1560,3,2182343.4999992647,9360,stocked
0,6,1560,3,1794183.9999999995,9360,unstocked
0,6,1860,1,1394896.0,11160,stocked
0,6,1860,1,1631060.0,11160,unstocked
0,6,1860,2,482257.59999985434,11160,stocked
0,6,1860,2,1076499.6,11160,unstocked
0,6,1860,3,1189113.7999995966,11160,stocked
0,6,1860,3,1125431.4000000001,11160,unstocked
0,6,2160,1,1033832.0,12960,stocked
0,6,2160,1,1503404.0,12960,unstocked
0,6,2160,2,1194036.8000001514,12960,stocked
0,6,2160,2,1497764.4000000001,12960,unstocked
0,6,2160,3,1320503.5999996369,12960,stocked
0,6,2160,3,1500575.1999999997,12960,unstocked
0,6,2460,1,1824756.0,14760,stocked
0,6,2460,1,2212584.0,14760,unstocked
0,6,2460,2,1666896.0000005704,14760,stocked
0,6,2460,2,780098.0,14760,unstocked
0,6,2460,3,1405888.7999997213,14760,stocked
0,6,2460,3,2691275.999999999,14760,unstocked
0,6,2760,1,2065166.0,16560,stocked
0,6,2760,1,1177192.0,16560,unstocked
0,6,2760,2,1111501.600000341,16560,stocked
0,6,2760,2,2090567.6000000006,16560,unstocked
0,6,2760,3,1221410.399999639,16560,stocked
0,6,2760,3,1794183.9999999998,16560,unstocked
0,6,3060,1,2319452.0,18360,stocked
0,6,3060,1,2808252.0,18360,unstocked
0,6,3060,2,2103662.0000006333,18360,stocked
0,6,3060,2,2308979.2000000007,18360,unstocked
0,6,3060,3,1735202.7999994112,18360,stocked
0,6,3060,3,3164220.399999999,18360,unstocked
0,6,3360,1,1547980.0,20160,stocked
0,6,3360,1,3063564.0,20160,unstocked
0,6,3360,2,1065108.0000002438,20160,stocked
0,6,3360,2,2855107.2000000007,20160,unstocked
0,6,3360,3,1979343.199999575,20160,stocked
0,6,3360,3,3164220.399999999,20160,unstocked
0,7,60,1,32380.0,420,stocked
0,7,60,1,0.0,420,unstocked
0,7,60,2,35617.999999993226,420,stocked
0,7,60,2,0.0,420,unstocked
0,7,60,3,37237.00000000739,420,stocked
0,7,60,3,0.0,420,unstocked
0,7,360,1,1031149.0,2520,stocked
0,7,360,1,326212.0,2520,unstocked
0,7,360,2,818905.999999846,2520,stocked
0,7,360,2,436823.19999999995,2520,unstocked
0,7,360,3,265576.39999999385,2520,stocked
0,7,360,3,146804.4,2520,unstocked
0,7,660,1,275138.0,4620,stocked
0,7,660,1,652424.0,4620,unstocked
0,7,660,2,176000.00000008353,4620,stocked
0,7,660,2,218411.6,4620,unstocked
0,7,660,3,265369.39999994385,4620,stocked
0,7,660,3,1500575.1999999997,4620,unstocked
0,7,960,1,294330.0,6720,stocked
0,7,960,1,850980.0,6720,unstocked
0,7,960,2,98005.60000001543,6720,stocked
0,7,960,2,358833.2,6720,unstocked
0,7,960,3,1016864.5000001827,6720,stocked
0,7,960,3,1272235.8,6720,unstocked
0,7,1260,1,571320.0,8820,stocked
0,7,1260,1,907736.0,8820,unstocked
0,7,1260,2,1216508.700000266,8820,stocked
0,7,1260,2,998509.6,8820,unstocked
0,7,1260,3,720408.3000001905,8820,stocked
0,7,1260,3,1288501.4,8820,unstocked
0,7,1560,1,1110248.0,10920,stocked
0,7,1560,1,2042316.0,10920,unstocked
0,7,1560,2,1427828.6000002634,10920,stocked
0,7,1560,2,1372901.2,10920,unstocked
0,7,1560,3,815016.5000002562,10920,stocked
0,7,1560,3,1859453.3999999997,10920,unstocked
0,7,1860,1,1386994.0,13020,stocked
0,7,1860,1,1616916.0,13020,unstocked
0,7,1860,2,891820.5999998125,13020,stocked
0,7,1860,2,1575754.4000000001,13020,unstocked
0,7,1860,3,425481.6000001989,13020,stocked
0,7,1860,3,2185593.3999999994,13020,unstocked
0,7,2160,1,1935119.0,15120,stocked
0,7,2160,1,1886372.0,15120,unstocked
0,7,2160,2,1542351.800000387,15120,stocked
0,7,2160,2,2371410.8000000007,15120,unstocked
0,7,2160,3,1174301.7999995772,15120,stocked
0,7,2160,3,2789076.599999999,15120,unstocked
0,7,2460,1,1229644.0,17220,stocked
0,7,2460,1,1616916.0,17220,unstocked
0,7,2460,2,1450692.100000347,17220,stocked
0,7,2460,2,1435332.8,17220,unstocked
0,7,2460,3,1324291.6999997625,17220,stocked
0,7,2460,3,2397667.1999999993,17220,unstocked
0,7,2760,1,2007239.0,19320,stocked
